site,transect,plot,latitude,longitude
GCREW,G1,1,38.876194,-76.548647
GCREW,G1,2,38.876065,-76.548674
GCREW,G1,3,38.875911,-76.548639
GCREW,G1,4,38.875794,-76.548633
GCREW,G1,5,38.875608,-76.548622
GCREW,G1,6,38.875352,-76.548601
GCREW,G1,7,38.875256,-76.548593
GCREW,G1,8,38.875086,-76.548611
GCREW,G1,9,38.874801,-76.548566
GCREW,G1,10,38.874684,-76.548527000000007
GCREW,G1,11,38.874443,-76.548479
GCREW,G1,12,38.874256,-76.548497
GCREW,G1,13,38.874142,-76.548494
GCREW,G1,14,38.873889,-76.548477
GCREW,G1,15,38.873755,-76.548427
GCREW,G1,16,38.873627,-76.548385
GCREW,G1,17,38.873341,-76.548434
GCREW,G1,18,38.87321,-76.548436
GCREW,G1,19,38.872953,-76.548408
GCREW,G1,20,38.872825,-76.548413
GCREW,G2,1,38.875347,-76.546266
GCREW,G2,2,38.875178,-76.546261
GCREW,G2,3,38.875029,-76.546292
GCREW,G2,4,38.874832,-76.546254
GCREW,G2,5,38.874697,-76.546183
GCREW,G2,6,38.874518,-76.546157
GCREW,G2,7,38.874285,-76.546188
GCREW,G2,8,38.874059,-76.54617
GCREW,G2,9,38.873857,-76.546175
GCREW,G2,10,38.873669,-76.546162
GCREW,G2,11,38.873442,-76.546167
GCREW,G3,1,38.877733,-76.543108
GCREW,G3,2,38.877741,-76.543241
GCREW,G3,3,38.877762,-76.543656
GCREW,G3,4,38.877818,-76.543814
GCREW,G3,5,38.877841,-76.544004
GCREW,G3,6,38.877825,-76.544217
Rhode,R1,1,38.900671,-76.533272
Rhode,R1,2,38.900688,-76.533334
Rhode,R1,3,38.900699,-76.53339
Rhode,R1,4,38.900691,-76.53342
Rhode,R1,5,38.900711,-76.53351
Rhode,R2,1,38.899811,-76.533153
Rhode,R2,2,38.899811,-76.533178
Rhode,R2,3,38.899757,-76.533232
Rhode,R2,4,38.89978,-76.533279
Rhode,R2,5,38.899709,-76.533314
Rhode,R3,1,38.899461,-76.532388
Rhode,R3,2,38.899347,-76.532434
Rhode,R3,3,38.899277,-76.532573
Rhode,R3,4,38.899217,-76.532585
Rhode,R3,5,38.899094,-76.532663
Sellman,S1,1,38.896092,-76.53826
Sellman,S1,2,38.896082,-76.538314
Sellman,S1,3,38.895927,-76.538602
Sellman,S1,4,38.895894,-76.538678
Sellman,S1,5,38.89573,-76.538921
Sellman,S1,6,38.895613,-76.539151
Sellman,S2,1,38.895927,-76.53791
Sellman,S2,2,38.895908,-76.538033
Sellman,S2,3,38.89584,-76.538127
Sellman,S2,4,38.895654,-76.538502
Sellman,S2,5,38.895579,-76.538558
Sellman,S2,6,38.895399,-76.538846
Sellman,S3,1,38.895705,-76.537753
Sellman,S3,2,38.89559,-76.537923
Sellman,S3,3,38.895508,-76.538076
Sellman,S3,4,38.895462,-76.538245
Sellman,S3,5,38.895282,-76.538502
